Blues
Maalivahdit 	  	O 	LPP 	Arvo
Iilahti Jonathan 	13 	0 	150 000
Suomalainen Erno 	13 	0 	200 000
Tarkki Iiro 		13 	132 	380 000
Tolvanen Mikko 		13 	7 	250 000
Puolustajat 	  	O 	LPP 	Arvo
Alanko Rami 		0 	0 	250 000
Grondahl Ari 		0 	0 	150 000
Heiskanen Santeri 	13 	49 	300 000
Huczkowski Miika 	12 	86 	300 000
Kurki Mikael 		12 	56 	275 000
Laakso Aleksi 		7 	42 	350 000
Lajunen Ville 		13 	118 	370 000
Mezei Branislav 	13 	53 	280 000
Nakyva Kristian 	0 	0 	190 000
Ronnberg Joonas 	8 	0 	235 000
Hyokkaajat 	  	O 	LPP 	Arvo
Blomqvist Sami 		11 	34 	280 000
Happola Toni 		0 	0 	250 000
Immonen Jarkko 		13 	62 	380 000
Kahkonen Toni 		6 	14 	400 000
Lajunen Jani 		6 	18 	220 000
Lammassaari Petri 	0 	0 	200 000
Lostedt Patrik 		10 	12 	150 000
Miettinen Camilo 	6 	53 	220 000
Mutanen Sami 		1 	0 	170 000
Nattinen Joonas 	6 	4 	220 000
Puustinen Juuso 	13 	72 	405 000
Rajamaki Erkki 		12 	54 	270 000
Ranta Roope 		4 	13 	185 000
Sallinen Jere 		10 	40 	300 000
Sallinen Tomi 		13 	33 	285 000
Stahlhammar Tomi 	10 	14 	200 000
Uhlback Jaakko 		6 	12 	220 000
Uusivirta Matti 	4 	2 	235 000
Virkkunen Valtteri 	5 	6 	185 000
Ohman Stefan 		13 	92 	420 000
HIFK
HIFK
Maalivahdit 	  	O 	LPP 	Arvo
Ahlqvist Aleksis 	13 	0 	200 000
Lundell Jan 		13 	152 	350 000
Nieminen Jani 		13 	1 	275 000
Noronen Mika 		13 	9 	405 000
Tuohimaa Frans 		13 	0 	150 000
Puolustajat 	  	O 	LPP 	Arvo
Ahonen Rony 		6 	10 	195 000
Clarke Dale 		11 	35 	440 000
Haverinen Joni 		6 	11 	225 000
Jarventie Martti 	11 	129 	400 000
Kankaanpera Markus 	13 	46 	310 000
Kurvinen Mikko 		8 	30 	250 000
Lupaschuk Ross 		11 	99 	440 000
Melart Ilari 		2 	-3 	150 000
Purolinna Juha-Petteri 	0 	0 	150 000
Soderholm Toni 		11 	33 	410 000
Tuohilampi Kristian 	0 	0 	150 000
Hyokkaajat 	  	O 	LPP 	Arvo
Ahtola Jerry 		11 	48 	400 000
Granlund Mikael 	3 	11 	450 000
Haataja Juha-Pekka 	13 	85 	430 000
Hirschovits Kim 	9 	49 	450 000
Jarvinen Turo 		13 	35 	250 000
Kivioja Henri 		0 	0 	150 000
Liivik Siim 		12 	35 	215 000
Luttinen Arttu 		13 	57 	420 000
Nyholm Robert 		10 	19 	285 000
Petrell Lennart 	12 	72 	425 000
Piiparinen Niko 	1 	1 	150 000
Poysti Eetu 		4 	8 	165 000
Ramstedt Teemu 		13 	76 	450 000
Talaja Roope 		1 	9 	160 000
Tallberg Teemu 		2 	9 	200 000
Toykkala Joni 		13 	44 	245 000
Vilkman Samu 		10 	32 	200 000
Wirtanen Petteri 	13 	61 	360 000
Warn Max 		0 	0 	175 000
HPK
HPK
Maalivahdit 	  	O 	LPP 	Arvo
Lassila Teemu 		12 	86 	405 000
Metsola Juha 		12 	0 	265 000
Rinne Rasmus 		12 	0 	175 000
Puolustajat 	  	O 	LPP 	Arvo
Alatalo Santeri 	1 	0 	150 000
Hietikko Ville 		0 	0 	150 000
Holmberg Aleksi 	9 	34 	230 000
Honkanen Jani 		12 	31 	200 000
Jarvinen Pasi 		0 	0 	150 000
Korhonen Risto 		0 	0 	150 000
Karmeniemi Lauri 	1 	3 	150 000
Laamanen Jukka 		12 	81 	420 000
Maenpaa Mikko 		10 	101 	435 000
Makela Tuukka 		11 	57 	210 000
Syvasalmi Kai 		4 	15 	265 000
Tuulola Marko 		12 	53 	320 000
Hyokkaajat 	  	O 	LPP 	Arvo
Honka Juuso 		0 	0 	150 000
Hamalainen Ville 	12 	41 	285 000
Jarvinen Jan-Mikael 	0 	0 	150 000
Karevaara Joona 	2 	0 	175 000
Kemppainen Joonas 	12 	51 	300 000
Kolehmainen Janne 	12 	43 	270 000
Laakkonen Janne 	11 	76 	390 000
Louhi Jyrki 		12 	27 	250 000
Lahteenmaki Sami 	2 	0 	150 000
Muhonen Tuomas 		12 	34 	175 000
Mannikko Miikka 	10 	66 	370 000
Nieminen Niko 		12 	25 	260 000
Sailio Jari 		12 	30 	290 000
Seitsonen Aki 		1 	-1 	200 000
Siren Niklas 		0 	0 	150 000
Turtiainen Jaakko 	0 	0 	150 000
Vihko Joonas 		10 	44 	405 000
Viinamaki Miika 	0 	0 	150 000
Viitaluoma Ville 	12 	50 	425 000
Virta Tony 		12 	31 	320 000
Ilves
Ilves
Maalivahdit 	  	O 	LPP 	Arvo
Aittokallio Sami 	13 	0 	150 000
Korhonen Markus 	13 	0 	275 000
Pitkamaki Juha 		13 	76 	340 000
Simola Jaakko 		13 	0 	200 000
Hurme Jani 		0 	0 	370 000
Puolustajat 	  	O 	LPP 	Arvo
Aalto Jouni 		1 	2 	150 000
Akkanen Juuso 		13 	28 	240 000
Bruun Antti 		13 	55 	275 000
Hulkkonen Antti 	11 	53 	275 000
Kuukka Mikko 		13 	63 	290 000
Laine Ville 		0 	0 	150 000
Nappila Jarkko 		0 	0 	160 000
Petrilainen Pasi 	0 	0 	150 000
Seikola Markus 		13 	150 	475 000
Tukio Arto 		12 	23 	275 000
Hyokkaajat 	  	O 	LPP 	Arvo
Alanen Johannes 	0 	0 	180 000
Antonen Juuso 		0 	0 	190 000
Anttila Marko 		13 	82 	330 000
Genoway Colby 		10 	107 	470 000
Kauvosaari Jarkko 	13 	91 	350 000
Korhonen Ville 		12 	38 	270 000
Marjamaki Masi 		12 	110 	325 000
Myttynen Matias 	13 	25 	200 000
Maattanen Pasi 		7 	67 	450 000
Niinimaki Jesse 	10 	22 	295 000
Pellinen Jaakko 	5 	30 	220 000
Pellinen Ossi 		12 	12 	190 000
Pesonen Jussi 		13 	116 	480 000
Rask Joonas 		3 	-1 	265 000
Salonen Pasi 		13 	32 	250 000
Sandvik Henri 		13 	27 	185 000
Snellman Niko 		0 	0 	175 000
Snellman Ville 		10 	15 	270 000
Sointu Matias 		0 	0 	150 000
Jokerit
Jokerit
Maalivahdit 	  	O 	LPP 	Arvo
Kautto Jani 		13 	0 	150 000
Riksman Juuso 		13 	100 	430 000
Stromberg Mikko 	13 	29 	250 000
Puolustajat 	  	O 	LPP 	Arvo
Brooks Alex 		5 	10 	200 000
Eronen Teemu 		8 	21 	175 000
Kalteva Mikko 		2 	-1 	170 000
Kauppinen Marko 	13 	115 	405 000
Kivisto Tommi 		8 	28 	205 000
Koivisto Tom 		4 	25 	330 000
Manelius Nico 		7 	3 	190 000
Malkia Simo 		13 	88 	300 000
