Blues
Maalivahdit 		O 	LPP 	Arvo 
Iilahti Jonathan 	0 	0 	150 000
Suomalainen Erno 	0 	0 	150 000
Tarkki Iiro 		18 	153 	385 000
Tolvanen Mikko 		3 	9 	235 000
Puolustajat 		O 	LPP 	Arvo 
Alanko Rami 		0 	0 	150 000
Grondahl Ari 		0 	0 	150 000
Heiskanen Santeri 	14 	50 	300 000
Huczkowski Miika 	17 	55 	300 000
Iliakis Dan 		15 	54 	260 000
Kokko Petri 		0 	0 	150 000
Kurki Mikael 		18 	36 	240 000
Laakso Aleksi 		14 	56 	340 000
Lajunen Ville 		20 	194 	390 000
Mezei Branislav 	17 	71 	250 000
Nakyva Kristian 	0 	0 	150 000
Ronnberg Joonas 	16 	38 	200 000
Hyokkaajat 		O 	LPP 	Arvo 
Blomqvist Sami 		5 	29 	265 000
Immonen Jarkko 		4 	19 	350 000
Kahkonen Toni 		20 	175 	400 000
Lajunen Jani 		17 	68 	230 000
Lammassaari Petri 	3 	13 	430 000
Lostedt Patrik 		10 	14 	150 000
Miettinen Camilo 	9 	39 	250 000
Murphy Ryan 		3 	8 	150 000
Mutanen Sami 		0 	0 	150 000
Makiaho Toni 		15 	115 	350 000
Nattinen Joonas 	1 	0 	150 000
Puustinen Juuso 	19 	111 	410 000
Rajamaki Erkki 		19 	89 	285 000
Ranta Roope 		13 	45 	185 000
Sallinen Jere 		12 	55 	300 000
Sallinen Tomi 		20 	91 	300 000
Spilar Gabriel 		10 	30 	290 000
Stahlhammar Tomi 	9 	19 	165 000
Uhlback Jaakko 		20 	49 	220 000
Uusivirta Matti 	1 	1 	150 000
Virkkunen Valtteri 	0 	0 	150 000
Ohman Stefan 		20 	91 	420 000
HIFK
HIFK
Maalivahdit 		O 	LPP 	Arvo 
Ahlqvist Aleksis 	1 	5 	150 000
Lundell Jan 		4 	2 	290 000
Nieminen Jani 		0 	0 	150 000
Noronen Mika 		17 	146 	395 000
Tuohimaa Frans 		0 	0 	150 000
Puolustajat 		O 	LPP 	Arvo 
Ahonen Rony 		1 	1 	150 000
Clarke Dale 		19 	122 	400 000
Haverinen Joni 		14 	57 	225 000
Jarventie Martti 	20 	119 	400 000
Kankaanpera Markus 	18 	52 	335 000
Kurvinen Mikko 		0 	0 	150 000
Lupaschuk Ross 		19 	109 	440 000
Melart Ilari 		9 	39 	170 000
Purolinna Juha-Petteri 	0 	0 	150 000
Soderholm Toni 		20 	102 	400 000
Tuohilampi Kristian 	0 	0 	150 000
Hyokkaajat 		O 	LPP 	Arvo 
Ahtola Jerry 		20 	93 	400 000
Granlund Mikael 	15 	119 	450 000
Haataja Juha-Pekka 	20 	144 	430 000
Hirschovits Kim 	20 	166 	430 000
Jarvinen Turo 		20 	74 	270 000
Kivioja Henri 		0 	0 	150 000
Kuhta Kimmo 		10 	79 	470 000
Liivik Siim 		10 	22 	190 000
Loppi Matias 		0 	0 	150 000
Luttinen Arttu 		20 	122 	420 000
Nyholm Robert 		5 	21 	200 000
Petrell Lennart 	20 	126 	435 000
Piiparinen Niko 	0 	0 	150 000
Poysti Eetu 		3 	7 	155 000
Ramstedt Teemu 		20 	65 	450 000
Talaja Roope 		0 	0 	150 000
Tallberg Teemu 		0 	0 	150 000
Toykkala Joni 		20 	80 	280 000
Vilkman Samu 		7 	22 	190 000
Wirtanen Petteri 	20 	106 	375 000
Warn Max 		10 	22 	200 000
HPK
HPK
Maalivahdit 		O 	LPP 	Arvo 
Lassila Teemu 		18 	187 	405 000
Metsola Juha 		2 	3 	230 000
Rinne Rasmus 		0 	0 	150 000
Puolustajat 		O 	LPP 	Arvo 
Alatalo Santeri 	0 	0 	150 000
Hietikko Ville 		0 	0 	150 000
Holmberg Aleksi 	2 	1 	150 000
Honkanen Jani 		18 	58 	200 000
Jarvinen Pasi 		0 	0 	150 000
Korhonen Risto 		0 	0 	150 000
Karmeniemi Lauri 	12 	12 	150 000
Laamanen Jukka 		19 	171 	420 000
Maenpaa Mikko 		17 	199 	455 000
Makela Tuukka 		16 	42 	190 000
Syvasalmi Kai 		16 	119 	300 000
Tuulola Marko 		19 	146 	385 000
Hyokkaajat 		O 	LPP 	Arvo 
Honka Juuso 		0 	0 	150 000
Hamalainen Ville 	19 	81 	300 000
Happola Toni 		15 	53 	260 000
Jarvinen Jan-Mikael 	0 	0 	150 000
Karevaara Joona 	1 	1 	150 000
Kemppainen Joonas 	19 	83 	300 000
Kolehmainen Janne 	13 	19 	235 000
Laakkonen Janne 	17 	105 	385 000
Louhi Jyrki 		19 	92 	280 000
Lahteenmaki Sami 	4 	3 	150 000
Muhonen Tuomas 		19 	40 	200 000
Mannikko Miikka 	19 	145 	375 000
Nieminen Niko 		19 	79 	265 000
Sailio Jari 		16 	92 	300 000
Siren Niklas 		0 	0 	150 000
Turtiainen Jaakko 	0 	0 	150 000
Vihko Joonas 		19 	160 	415 000
Viinamaki Miika 	0 	0 	150 000
Viitaluoma Ville 	19 	155 	420 000
Ilves
Ilves
Maalivahdit 		O 	LPP 	Arvo 
Aittokallio Sami 	0 	0 	150 000
Hurme Jani 		12 	76 	385 000
Korhonen Markus 	4 	1 	150 000
Pitkamaki Juha 		8 	40 	275 000
Simola Jaakko 		0 	0 	150 000
Toivonen Hannu 		0 	0 	150 000
Puolustajat 		O 	LPP 	Arvo 
Aalto Jouni 		0 	0 	150 000
Akkanen Juuso 		13 	14 	190 000
Bruun Antti 		16 	57 	290 000
Glenn Ryan 		14 	81 	300 000
Hulkkonen Antti 	10 	55 	150 000
Kuukka Mikko 		20 	81 	290 000
Laine Ville 		1 	1 	150 000
Nappila Jarkko 		16 	43 	165 000
Petre Henrik 		8 	51 	295 000
Petrilainen Pasi 	0 	0 	150 000
Seikola Markus 		19 	207 	465 000
Tukio Arto 		3 	14 	275 000
Hyokkaajat 		O 	LPP 	Arvo 
Alanen Johannes 	12 	25 	190 000
Antonen Juuso 		0 	0 	150 000
Anttila Marko 		19 	62 	340 000
Genoway Colby 		14 	111 	415 000
Johner Dustin 		0 	0 	150 000
Kauvosaari Jarkko 	20 	78 	345 000
Keranen Michael 	0 	0 	150 000
Korhonen Ville 		20 	58 	280 000
Lessard Junior 		0 	0 	150 000
Marjamaki Masi 		15 	84 	310 000
Myttynen Matias 	4 	3 	150 000
Maattanen Pasi 		20 	181 	450 000
Niinimaki Jesse 	20 	119 	300 000
Pellinen Jaakko 	20 	57 	220 000
Rajala Toni 		0 	0 	150 000
Rask Joonas 		17 	94 	300 000
Salonen Pasi 		20 	65 	265 000
Sandell Sami 		0 	0 	150 000
Sandvik Henri 		12 	11 	180 000
Snellman Niko 		6 	5 	175 000
Snellman Ville 		3 	8 	150 000
Sointu Matias 		0 	0 	150 000
Soloduhin Vjatsheslav 	3 	4 	150 000
Jokerit
Jokerit
Maalivahdit 		O 	LPP 	Arvo 
Kautto Jani 		0 	0 	150 000
Riksman Juuso 		19 	206 	405 000
Stromberg Mikko 	2 	10 	235 000
Puolustajat 		O 	LPP 	Arvo 
Brooks Alex 		12 	51 	265 000
Eronen Teemu 		7 	24 	200 000
Kalteva Mikko 		18 	88 	250 000
Kauppinen Marko 	16 	76 	430 000
Kivisto Tommi 		2 	4 	165 000
Koivisto Tom 		14 	101 	400 000
Manelius Nico 		3 	3 	160 000
Malkia Simo 		18 	71 	300 000
Niemi Antti-Jussi 	14 	70 	300 000
Rullier Joe 		11 	41 	250 000
Olander Jere 		0 	0 	150 000
Hyokkaajat 		O 	LPP 	Arvo 
Battaglia Bates 	8 	15 	265 000
Ben-Amor Semir 		18 	58 	200 000
Bremberg Fredrik 	19 	134 	475 000
Hauhtonen Janne 	11 	78 	285 000
Helenius Jani-Petteri 	0 	0 	150 000
Hentunen Jukka 		19 	202 	490 000
Juutilainen Jan-Mikael 	14 	14 	150 000
Lahti Janne 		19 	158 	440 000
Lind Juha 		19 	56 	230 000
Maki Tomi 		18 	61 	225 000
Nylander Michael 	5 	1 	450 000
Pallassalo Tomi 	0 	0 	150 000
Pirnes Esa 		19 	196 	420 000
Pitkanen Ilmari 	1 	0 	150 000
Pulkkinen Teemu 	0 	0 	150 000
Pulkkinen Toni 		0 	0 	150 000
Rita Jani 		19 	163 	385 000
Saarinen Ossi 		19 	41 	250 000
Valtonen Tomek 		0 	0 	150 000
Vauhkonen Olavi 	19 	25 	170 000
JYP
JYP
Maalivahdit 		O 	LPP 	Arvo 
Kaulio Niko 		0 	0 	150 000
Laitinen Jarno 		0 	0 	150 000
Tuokkola Pekka 		16 	155 	390 000
Wallinheimo Sinuhe 	7 	50 	390 000
Puolustajat 		O 	LPP 	Arvo 
Jaatinen Antti 		20 	78 	215 000
Kaijomaa Kalle 		21 	116 	300 000
Kantee Kevin 		9 	17 	195 000
Koistinen Matti 	0 	0 	150 000
Koskinen Kalle 		21 	124 	425 000
Malmivaara Olli 	21 	87 	400 000
Vatanen Sami 		18 	123 	435 000
Viitanen Mikko 		15 	36 	270 000
Valivaara Jyrki 	0 	0 	150 000
Hyokkaajat 		O 	LPP 	Arvo 
Asplund Turo 		0 	0 	150 000
Hakkarainen Mikko 	17 	47 	285 000
