HIFK
Maalivahdit 	  	O 	V 	H 	TP 	PM 	TO 	NP 	M 	S 	JM 	OR 	IS1 	IS2 	IS3 	LPP 	  	Arvo 	 
Ahlqvist Aleksis 		6 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		200 000 	
Lundell Jan 		6 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		300 000 	
Noronen Mika 		6 	2 	4 	0 	15 	167 	1 	0 	0 	0 	0 	1 	1 	0 	61 		470 500 	
Tuohimaa Frans 		6 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		200 000 	
Puolustajat 	  	O 	M 	S 	AV 	VM 	TM 	JA 	L 	+ 	- 	JM 	OR 	IS1 	IS2 	IS3 	LPP 	Arvo 	 
Ahonen Rony 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	150 000 	
Clarke Dale 		6 	0 	3 	0 	0 	0 	0 	24 	3 	2 	4 	0 	0 	0 	0 	39 	383 500 	
Haverinen Joni 		4 	0 	0 	0 	0 	0 	0 	6 	2 	2 	2 	0 	0 	0 	0 	7 	180 000 	
Jarventie Martti 		6 	1 	2 	0 	0 	0 	0 	25 	3 	3 	2 	0 	0 	0 	0 	39 	444 000 	
Kankaanpera Markus 		6 	0 	1 	0 	0 	0 	0 	10 	2 	3 	6 	0 	0 	0 	0 	18 	371 500 	
Kurvinen Mikko 		6 	0 	0 	0 	0 	0 	0 	3 	2 	2 	4 	0 	0 	0 	0 	9 	206 000 	
Lupaschuk Ross 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	338 000 	
Melart Ilari 		2 	0 	0 	0 	0 	0 	0 	4 	0 	0 	0 	0 	0 	0 	0 	2 	175 500 	
Purolinna Juha-Petteri 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	151 500 	
Soderholm Toni 		6 	1 	3 	0 	0 	0 	0 	25 	2 	2 	2 	0 	0 	0 	0 	45 	408 500 	
Tuohilampi Kristian 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	150 000 	
Hyokkaajat 	  	O 	M 	S 	AV 	VM 	TM 	JA 	L 	+ 	- 	JM 	OR 	IS1 	IS2 	IS3 	LPP 	Arvo 	 
Ahtola Jerry 		6 	1 	0 	0 	0 	0 	0 	24 	0 	2 	2 	0 	0 	0 	0 	21 	424 500 	
Granlund Mikael 		6 	1 	5 	0 	0 	0 	0 	16 	2 	1 	0 	0 	0 	1 	0 	41 	445 000 	
