Ti 01.10. 	Montreal 	- 	Toronto 				
	Chicago 	- 	Washington 				
	Edmonton 	- 	Winnipeg 				
Ke 02.10. 	Philadelphia 	- 	Toronto 				
	Detroit 	- 	Buffalo 				
	Colorado 	- 	Anaheim 				
To 03.10. 	Boston 	- 	Tampa Bay 				
	Pittsburgh 	- 	New Jersey 				
	Washington 	- 	Calgary 				
	Minnesota 	- 	Los Angeles 				
	St. Louis 	- 	Nashville 				
	Dallas 	- 	Florida 				
	San Jose 	- 	Vancouver 				
	Phoenix 	- 	NY Rangers 				
Pe 04.10. 	Columbus 	- 	Calgary 				
	New Jersey 	- 	NY Islanders 				
	Carolina 	- 	Detroit 				
	Buffalo 	- 	Ottawa 				
	Winnipeg 	- 	Los Angeles 				
	Colorado 	- 	Nashville 				
La 05.10. 	Boston 	- 	Detroit 				
	Pittsburgh 	- 	Buffalo 				
	Toronto 	- 	Ottawa 				
	Montreal 	- 	Philadelphia 				
	NY Islanders 	- 	Columbus 				
	Minnesota 	- 	Anaheim 				
	St. Louis 	- 	Florida 				
	Dallas 	- 	Washington 				
	Chicago 	- 	Tampa Bay 				
	Vancouver 	- 	Edmonton 				
	San Jose 	- 	Phoenix 				
Su 06.10. 	Carolina 	- 	Philadelphia 				
	Calgary 	- 	Vancouver 				
	Winnipeg 	- 	Anaheim 				
Ma 07.10. 	Edmonton 	- 	New Jersey 				
	Los Angeles 	- 	NY Rangers 				
Ti 08.10. 	Toronto 	- 	Colorado 				
	Pittsburgh 	- 	Carolina 				
	Philadelphia 	- 	Florida 				
	NY Islanders 	- 	Phoenix 				
	Buffalo 	- 	Tampa Bay 				
	Nashville 	- 	Minnesota 				
	Vancouver 	- 	New Jersey 				
	San Jose 	- 	NY Rangers 				
Ke 09.10. 	Calgary 	- 	Montreal 				
	St. Louis 	- 	Chicago 				
	Los Angeles 	- 	Ottawa 				
To 10.10. 	Washington 	- 	Carolina 				
	Buffalo 	- 	Columbus 				
	Boston 	- 	Colorado 				
	Detroit 	- 	Phoenix 				
	Tampa Bay 	- 	Florida 				
	Minnesota 	- 	Winnipeg 				
	Nashville 	- 	Toronto 				
	Edmonton 	- 	Montreal 				
	Anaheim 	- 	NY Rangers 				
	Vancouver 	- 	San Jose 				
Pe 11.10. 	Carolina 	- 	Los Angeles 				
	Philadelphia 	- 	Phoenix 				
	Florida 	- 	Pittsburgh 				
	Winnipeg 	- 	Dallas 				
	Chicago 	- 	NY Islanders 				
	Calgary 	- 	New Jersey 				
La 12.10. 	Columbus 	- 	Boston 				
	Detroit 	- 	Philadelphia 				
	Tampa Bay 	- 	Pittsburgh 				
	Toronto 	- 	Edmonton 				
	Washington 	- 	Colorado 				
	Minnesota 	- 	Dallas 				
	Nashville 	- 	NY Islanders 				
	St. Louis 	- 	NY Rangers 				
	Chicago 	- 	Buffalo 				
	Vancouver 	- 	Montreal 				
	San Jose 	- 	Ottawa 				
Su 13.10. 	Carolina 	- 	Phoenix 				
	Florida 	- 	Los Angeles 				
	Anaheim 	- 	Ottawa 				
	Winnipeg 	- 	New Jersey 				
Ma 14.10. 	Boston 	- 	Detroit 				
	Washington 	- 	Edmonton 				
	Buffalo 	- 	Minnesota 				
Ti 15.10. 	Toronto 	- 	Minnesota 				
	Carolina 	- 	Chicago 				
	NY Islanders 	- 	Buffalo 				
	Philadelphia 	- 	Vancouver 				
	Pittsburgh 	- 	Edmonton 				
	Tampa Bay 	- 	Los Angeles 				
	Detroit 	- 	Columbus 				
	St. Louis 	- 	San Jose 				
	Winnipeg 	- 	Montreal 				
	Nashville 	- 	Florida 				
	Colorado 	- 	Dallas 				
	Phoenix 	- 	Ottawa 				
Ke 16.10. 	Washington 	- 	NY Rangers 				
	Anaheim 	- 	Calgary 				
To 17.10. 	Philadelphia 	- 	Pittsburgh 				
	NY Islanders 	- 	Edmonton 				
	Toronto 	- 	Carolina 				
	Buffalo 	- 	Vancouver 				
	Montreal 	- 	Columbus 				
	Ottawa 	- 	New Jersey 				
	Florida 	- 	Boston 				
	Tampa Bay 	- 	Minnesota 				
	Nashville 	- 	Los Angeles 				
	Chicago 	- 	St. Louis 				
	Dallas 	- 	San Jose 				
	Colorado 	- 	Detroit 				
Pe 18.10. 	Winnipeg 	- 	St. Louis 				
	Anaheim 	- 	Phoenix 				
La 19.10. 	Pittsburgh 	- 	Vancouver 				
	Ottawa 	- 	Edmonton 				
	Florida 	- 	Minnesota 				
	Washington 	- 	Columbus 				
	Tampa Bay 	- 	Boston 				
	NY Islanders 	- 	Carolina 				
	New Jersey 	- 	NY Rangers 				
	Montreal 	- 	Nashville 				
	Chicago 	- 	Toronto 				
	Buffalo 	- 	Colorado 				
	Phoenix 	- 	Detroit 				
	San Jose 	- 	Calgary 				
	Los Angeles 	- 	Dallas 				
Su 20.10. 	Columbus 	- 	Vancouver 				
	Winnipeg 	- 	Nashville 				
	Anaheim 	- 	Dallas 				
Ma 21.10. 	Detroit 	- 	San Jose 				
	Pittsburgh 	- 	Colorado 				
	Los Angeles 	- 	Calgary 				
Ti 22.10. 	Toronto 	- 	Anaheim 				
	NY Islanders 	- 	Vancouver 				
	Columbus 	- 	New Jersey 				
	Florida 	- 	Chicago 				
	Montreal 	- 	Edmonton 				
	Minnesota 	- 	Nashville 				
	Winnipeg 	- 	Washington 				
	Phoenix 	- 	Calgary 				
Ke 23.10. 	Detroit 	- 	Ottawa 				
	Buffalo 	- 	Boston 				
To 24.10. 	New Jersey 	- 	Vancouver 				
	Philadelphia 	- 	NY Rangers 				
	Boston 	- 	San Jose 				
	Tampa Bay 	- 	Chicago 				
	Montreal 	- 	Anaheim 				
	Nashville 	- 	Winnipeg 				
	Minnesota 	- 	Carolina 				
	Dallas 	- 	Calgary 				
	Edmonton 	- 	Washington 				
	Los Angeles 	- 	Phoenix 				
Pe 25.10. 	Columbus 	- 	Toronto 				
	Pittsburgh 	- 	NY Islanders 				
	Florida 	- 	Buffalo 				
	Ottawa 	- 	Anaheim 				
	St. Louis 	- 	Vancouver 				
	Colorado 	- 	Carolina 				
La 26.10. 	Phoenix 	- 	Edmonton 				
	Toronto 	- 	Pittsburgh 				
	Tampa Bay 	- 	Buffalo 				
	NY Islanders 	- 	Philadelphia 				
	Montreal 	- 	San Jose 				
	Dallas 	- 	Winnipeg 				
	Detroit 	- 	NY Rangers 				
	Boston 	- 	New Jersey 				
	Nashville 	- 	St. Louis 				
	Chicago 	- 	Minnesota 				
	Calgary 	- 	Washington 				
Su 27.10. 	Ottawa 	- 	San Jose 				
	Florida 	- 	Tampa Bay 				
	Columbus 	- 	Anaheim 				
	Colorado 	- 	Winnipeg 				
	Los Angeles 	- 	Edmonton 				
Ma 28.10. 	Buffalo 	- 	Dallas 				
	Carolina 	- 	Pittsburgh 				
	NY Rangers 	- 	Montreal 				
	Minnesota 	- 	Chicago 				
	Vancouver 	- 	Washington 				
Ti 29.10. 	Philadelphia 	- 	Anaheim 				
	NY Islanders 	- 	NY Rangers 				
	Montreal 	- 	Dallas 				
	New Jersey 	- 	Tampa Bay 				
	Chicago 	- 	Ottawa 				
	St. Louis 	- 	Winnipeg 				
	Edmonton 	- 	Toronto 				
	Phoenix 	- 	Los Angeles 				
Ke 30.10. 	Calgary 	- 	Toronto 				
	Pittsburgh 	- 	Boston 				
	Vancouver 	- 	Detroit 				
	Los Angeles 	- 	San Jose 				
To 31.10. 	Boston 	- 	Anaheim 				
	NY Rangers 	- 	Buffalo 				
	Phoenix 	- 	Nashville 				
Pe 01.11. 	Philadelphia 	- 	Washington 				
	Carolina 	- 	Tampa Bay 				
	Pittsburgh 	- 	Columbus 				
	Florida 	- 	St. Louis 				
	Ottawa 	- 	NY Islanders 				
	Minnesota 	- 	Montreal 				
	Dallas 	- 	Colorado 				
	Calgary 	- 	Detroit 				
La 02.11. 	Winnipeg 	- 	Chicago 				
	Vancouver 	- 	Toronto 				
	Tampa Bay 	- 	St. Louis 				
	NY Rangers 	- 	Carolina 				
	NY Islanders 	- 	Boston 				
	New Jersey 	- 	Philadelphia 				
	Columbus 	- 	Pittsburgh 				
	Buffalo 	- 	Anaheim 				
	Washington 	- 	Florida 				
	Colorado 	- 	Montreal 				
	Edmonton 	- 	Detroit 				
	San Jose 	- 	Phoenix 				
	Los Angeles 	- 	Nashville 				
Su 03.11. 	Ottawa 	- 	Dallas 				
	Chicago 	- 	Calgary 				
	Minnesota 	- 	New Jersey 
